Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1nF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,111.0,-83.7,-90.0,top
C10,1nF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,116.0,-124.2,-90.0,top
C11,1nF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,111.0,-128.7,-90.0,top
C12,1nF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,116.0,-133.2,-90.0,top
C13,1nF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,111.0,-137.7,-90.0,top
C14,1nF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,116.0,-142.2,-90.0,top
C15,1nF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,111.0,-146.7,-90.0,top
C16,1nF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,116.0,-151.2,-90.0,top
C17,1nF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,111.0,-155.7,-90.0,top
C18,1nF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,116.0,-160.2,-90.0,top
C19,1nF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,111.0,-164.7,-90.0,top
C2,1nF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,116.0,-88.2,-90.0,top
C20,1nF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,116.0,-169.2,-90.0,top
C3,1nF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,111.0,-92.7,-90.0,top
C4,1nF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,116.0,-97.2,-90.0,top
C5,1nF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,111.0,-101.7,-90.0,top
C6,1nF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,116.0,-106.2,-90.0,top
C7,1nF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,111.0,-110.7,-90.0,top
C8,1nF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,116.0,-115.2,-90.0,top
C9,1nF,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,111.0,-119.7,-90.0,top
